tweet,created_at,username
"Supreme Court Justice Brett Kavanaugh received an enthusiastic welcome at a major conservative legal convention, with hundreds of members erupting into cheers when his name was announced at the kick-off dinner https://www.buzzfeednews.com/article/zoetillman/brett-kavanaugh-standing-ovation-federalist-society?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542377400000,Buzzfeed
"Khmer Rouge verdict: 'I live next to my torturer"" https://bbc.in/2DFaIIs ",1542377582000,BBC
"Facebook has applied for a patent to predict who lives in your house based on family photos.  The technology would also analyze things like your photo captions, hashtags, and shared IP addresses https://www.buzzfeednews.com/article/nicolenguyen/facebook-household-prediction-patent?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542378480000,Buzzfeed
"In a win for Republicans, a judge upheld Florida rules requiring ""magic words"" and ""consistency"" to determine voter intent. https://www.buzzfeednews.com/article/zoetillman/a-judge-upheld-florida-rules-requiring-magic-words-and?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542379001000,Buzzfeed
"A judge has ruled that Florida must finish its hand recount by Sunday, something that has been widely considered impossible for large, Democrat-dominated counties https://www.buzzfeednews.com/article/dominicholden/florida-hand-recount-deadline-sunday-judge?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542379271000,Buzzfeed
Follow @pdmcleod for the latest on the legal battle over Jim Acosta's White House press pass https://twitter.com/pdmcleod/status/1063447121150517250 …,1542380903000,Buzzfeed
Israel's Benjamin Netanyahu: Commando turned PM https://bbc.in/2QOQ9fQ ,1542381114000,BBC
"Florida Gov. Rick Scott can continue to oversee the state election system that validates his own race for US Senate, a judge ruled https://www.buzzfeednews.com/article/dominicholden/florida-rick-scott-oversee-election-judge?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542381203000,Buzzfeed
Russia 'sought access to UK visa issuing system' https://bbc.in/2QIaCmi ,1542381544000,BBC
BREAKING: Betsy DeVos wants new regulations that protect students accused of sexual assault and their schools https://www.buzzfeednews.com/article/tylerkingkade/betsy-devos-title-ix-sexual-assault-protects-accused?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1542381772000,Buzzfeed
"BREAKING: A federal judge has ordered the White House to reinstate Jim Acosta's full press credentials, which were revoked last week after a tense exchange between the reporter and Trump https://www.buzzfeednews.com/article/paulmcleod/jim-acosta-will-get-his-white-house-pass-back-following-a?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542382291000,Buzzfeed
Trump ordered to allow CNN journalist back https://bbc.in/2DIpUVc ,1542383093000,BBC
"- Butch Cassidy and the Sundance Kid 🏜️ - The Princess Bride 👸 - Marathon Man 🏃‍♂️ - All The President's Men 🖊️ - A Bridge Too Far 🌉  RIP William Goldman, Hollywood screenwriting legend https://bbc.in/2QKyS7i ",1542383375000,BBC
You can sign up here!  https://www.buzzfeed.com/newsletters/ ,1542383388000,Buzzfeed
Brexit: EU determined to keep calm and carry on with deal https://bbc.in/2QJ5xdv ,1542383471000,BBC
Sign up for our daily newsletter here  https://bzfd.it/2yR6A3k  https://twitter.com/AM2DM/status/1063458797849477120 …,1542383545000,Buzzfeed
"""It’s like a total cremation of a town. It’s hard to see.""  Nothing can prepare the people who have to search for charred bodies after the California wildfires. https://www.buzzfeednews.com/article/briannasacks/search-rescue-california-wildfire-victims?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542384683000,Buzzfeed
